AREA,TAG,DIAMETER,CALC_NOTES,PID,ISO,STRESS,SUPPORT
023A1,023A1-021917-150-CIP-10SS21-0002-HC_01,6,unset,50,30,0,60
023A1,023A1-021302-250-PV-10SS21-0002_01,6,unset,70,60,0,60
023A1,023A1-021402-150-WWG-10SS21-0006_01,4,unset,70,30,0,85
023A1,023A1-021402-150-WWG-10SS21-0005_01,4,unset,70,30,0,85
023A1,023A1-021925-150-CIP-10SS21-0047-HC_01,6,unset,50,30,0,60
023A1,023A3-981200-40-WP-10SS21-0006-ET_01,1.5,unset,50,30,0,60
023A1,023A3-981200-25-WP-10SS21-0012-ET_01,1.5,unset,50,30,0,60
023A1,023A1-981200-40-WP-10SS21-0004-ET_01,1.25,unset,50,30,0,60
023A1,023A1-981200-40-WP-10SS21-0003-ET_01,1.5,unset,50,30,0,60
023A1,023A1-021601-100-WSS-16SS21-0045_01,3,unset,50,30,0,60
023A1,023A1-021602-150-WSS-10SS21-0027_01,8,unset,70,30,0,60
023A1,023A1-021601-200-WSS-10SS21-0019_01,0,unset,50,30,0,60
023A1,023A1-021925-50-PC-10SS21-0004-HC_01,2,unset,70,60,0,60
023A1,023A1-021603-150-PW-10SS21-0011_01,6,unset,70,30,0,60
023A1,023A1-021603-150-PW-10SS21-0004_01,6,unset,70,30,60,60
023A1,023A1-021603-80-WSS-10SS21-0054_01,3,unset,70,30,60,60
023A1,023A1-021603-100-WSS-10SS21-0018_01,6,unset,70,30,0,60
023A1,023A1-021602-150-WSS-10SS21-0026_01,6,unset,50,30,0,60
023A1,023A1-021925-50-PC-10SS21-0009-HC_01,2,unset,70,60,0,60
023A1,023A1-021917-50-PW-10SS21-0047_01,2,unset,70,30,0,60
023A1,023A1-021925-50-PC-10SS21-0007-HC_01,2,unset,70,60,0,60
023A1,023A1-021601-350-WSS-10SS21-0003_01,14,unset,70,30,60,60
023A1,023A1-021303-25-WPE-10SS21-0005_01,2,unset,70,30,0,60
023A1,023A1-021601-150-WSS-16SS21-0083_01,6,unset,70,60,60,60
023A1,023A1-021601-150-WSS-16SS21-0081_01,6,unset,50,30,60,60
023A1,023A1-021601-150-WSS-16SS21-0080_01,6,unset,50,30,60,60
023A1,023A1-021603-150-WSS-10SS21-0017_01,8,unset,50,30,0,60
023A1,023A1-021604-150-WSS-16SS21-0062_01,6,unset,50,30,60,60
023A1,023A1-021604-150-WSS-10SS21-0047_01,6,unset,70,60,0,60
023A1,023A1-021603-50-WSS-16SS21-0047_01,3,unset,70,60,0,60
023A1,023A1-021603-50-WSS-10SS21-0074_01,3,unset,70,60,0,60
023A1,023A1-021603-50-WSS-16SS21-0023_01,2,unset,50,30,0,60
023A1,023A1-021603-100-WSS-10SS21-0022_01,6,unset,50,30,0,60
023A1,023A1-021917-100-PW-10SS21-0039_01,4,unset,70,30,0,60
023A1,023A1-021601-150-PW-10SS21-0006_01,10,unset,70,60,0,60
023A1,023A1-021604-150-PW-10SS21-0005_01,6,unset,50,30,0,60
023A1,023A1-021601-80-PW-10SS21-0017_01,3,unset,70,60,0,60
023A1,023A1-021908-20-PA-10SS21-0067_01,0.75,unset,0,0,0,60
023A1,023A1-021908-20-PA-10SS21-0066_01,0.75,unset,0,0,0,60
023A1,023A1-021908-20-PA-10SS21-0065_01,0.75,unset,0,0,0,60
023A1,023A1-021908-20-PA-10SS21-0064_01,0.75,unset,0,0,0,60
023A1,023A1-021922-80-HCW-63SS22-0025_01,3,unset,0,0,0,60
023A1,023A1-021922-80-HCW-63SS22-0010_01,3,unset,0,0,0,60
023A1,023A1-021922-80-HCW-63SS22-0012_01,3,unset,0,0,0,60
023A1,023A1-021303-150-WWG-10SS21-0004_01,14,unset,70,30,0,60
023A1,023A1-021921-20-PNW-10SS21-0104_01,0.75,unset,0,0,0,60
023A1,023A1-021921-20-PNW-10SS21-0105_01,0.75,unset,0,0,0,60
023A1,023A1-021921-20-PNW-10SS21-0120_01,0.75,unset,0,0,0,60
023A1,023A1-021921-20-PNW-10SS21-0107_01,0.75,unset,0,0,0,60
023A1,023A1-021908-100-PA-10SS21-0050_01,2,unset,0,0,0,60
023A1,023A1-021908-50-PA-10SS21-0068_01,0,unset,0,0,0,60
023A1,023A1-021922-50-HCW2-160SS22-0006_01,2,unset,70,30,0,60
023A1,023A1-021303-150-WWG-10SS21-0002_01,6,unset,70,30,0,60
023A1,023A1-021303-150-WWG-10SS21-0003_01,6,unset,50,30,0,60
023A1,023A1-021703-150-WX-16SS21-0004-HC_01,6,unset,50,30,0,60
023A1,023A1-021303-250-WPE-10SS21-0001_01,10,unset,70,60,0,60
023A1,023A1-021925-50-PC-10SS21-0028-HC_01,2,unset,70,60,0,60
023A1,023A1-021303-200-WPE-10SS21-0002_01,6,unset,70,60,0,60
023A1,023A1-021921-80-PNW-16SS21-0038_01,3,unset,70,60,60,60
023A1,023A1-021921-80-PNW-16SS21-0035_01,3,unset,70,60,60,60
023A1,023A1-021921-80-PNW-16SS21-0033_01,3,unset,70,60,60,60
023A1,023A1-021921-80-PNW-16SS21-0031_01,3,unset,70,60,60,60
023A1,023A1-021303-200-WPE-10SS21-0003_01,6,unset,70,60,0,60
023A1,023A1-021921-25-PNW-16SS21-0023_01,1,unset,70,60,0,60
023A1,023A1-021925-50-PC-10SS21-0018-HC_01,2,unset,70,60,0,60
023A1,023A1-021930-100-WW-10SS21-0014_01,4,unset,70,60,0,60
023A1,023A1-021930-100-WW-10SS21-0025_01,4,unset,70,60,0,60
023A1,023A1-021930-100-WW-10SS21-0024_01,4,unset,70,60,0,60
023A1,023A1-021303-200-WPE-10SS21-0004_01,6,unset,70,60,0,60
023A1,023A1-021930-100-WW-10SS21-0013_01,4,unset,70,60,0,60
023A1,023A1-021303-250-WSS-10SS21-0004_01,14,unset,70,60,0,60
023A1,023A1-021908-50-IA-10SS21-0001_01,2,unset,50,30,0,60
023A1,023A1-021908-50-IA-10SS21-0006_01,0,unset,50,30,0,60
023A1,023A1-021303-200-WSS-10SS21-0003_01,8,unset,70,60,0,60
023A1,023A1-021601-25-WSS-16SS21-0073_01,1,unset,50,30,0,60
023A1,023A1-021930-100-WW-10SS21-0043_01,4,unset,0,0,0,60
023A1,023A1-021930-100-WW-10SS21-0042_01,4,unset,0,0,0,60
023A1,023A1-021303-250-WSS-10SS21-0002_01,8,unset,70,60,0,60
023A1,023A1-021303-200-WSS-10SS21-0001_01,8,unset,70,60,0,60
023A1,023A1-021942-25-PNW-10SS21-0001-NC_01,1,unset,50,60,0,60
023A1,023A1-021601-25-WSS-16SS21-0078_01,1,unset,50,30,0,60
023A1,023A1-021602-25-WSS-16SS21-0038_01,1,unset,70,30,0,60
023A1,023A1-021501-150-WPE-10SS21-0002_01,6,unset,70,60,0,60
023A1,023A1-021604-25-WSS-16SS21-0056_01,1,unset,50,30,0,60
023A1,023A1-021501-150-WPE-10SS21-0004_01,6,unset,70,60,0,60
023A1,023A1-021000-150-AV-10SU21-0005_01,6,unset,70,60,0,60
023A1,023A1-021921-25-PNW-10SS21-0087_01,1,unset,50,30,0,60
023A1,023A1-021921-50-PNW-10SS21-0066_01,2,unset,70,30,0,60
023A1,023A1-021908-100-PA-10SS21-0001_01,3,unset,70,60,0,85
023A1,023A1-021501-100-WPE-10SS21-0010_01,4,unset,70,30,0,60
023A1,023A1-021501-100-WPE-10SS21-0007_01,4,unset,70,60,0,85
023A1,023A1-021501-80-WPE-10SS21-0001_01,3,unset,70,60,0,60
023A1,023A1-021921-80-PNW-16SS21-0092_01,3,unset,70,30,0,60
023A1,023A1-021925-50-PC-10SS21-0019-HC_01,2,unset,70,60,0,60
023A1,023A1-021602-50-WSS-10SS21-0005_01,2,unset,70,30,0,0
023A1,023A1-021603-250-WSS-10SS21-0078_01,10,unset,70,60,0,0
023A1,023A1-021918-80-PC-10SS21-0025_01,10,unset,70,60,60,0
023A1,023A1-021921-150-PNW-16SS21-0026_01,6,unset,50,30,0,0
023A1,023A1-021925-50-PC-10SS21-0014-HC_01,4,unset,70,60,0,0
023A1,023A1-021925-50-PC-10SS21-0005-HC_01,2,unset,70,60,0,0
023A1,023A1-021603-150-WSS-10SS21-0012_01,6,unset,70,30,0,0
023A1,023A1-021501-100-WPE-10SS21-0003_01,4,unset,70,60,0,60
023A1,023A1-021501-100-WPE-10SS21-0006_01,4,unset,70,60,0,60
023A1,023A1-021601-150-WSS-10SS21-0031_01,6,unset,70,60,60,0
023A1,023A1-021922-50-HCW2-160SS22-HOLD,2,unset,70,30,0,0
023A1,023A1-021922-25-HCW2-160SS22-0018_01,2,unset,70,30,0,0
023A1,023A1-021942-25-PNW-10SS21-0003-NC_01,1,unset,70,30,0,0
023A1,023A1-021903-100-SC-16CS22-0003-HC_01,4,unset,70,60,0,60
